crc,name,game,title
a465e5f3,prom2.cpu,hlywoodh,Hollywood Heat
0493e27a,prom1.cpu,hlywoodh,Hollywood Heat
a698ec33,drom1.snd,hlywoodh,Hollywood Heat
9232591e,yrom1.snd,hlywoodh,Hollywood Heat
51709c2f,yrom2.snd,hlywoodh,Hollywood Heat
63bc8395,prom1_fp.cpu,hlywdhfp,Hollywood Heat (Free Play)
bf60b631,prom2g.cpu,hlywodhg,Hollywood Heat (German)
0f212d15,prom1g.cpu,hlywodhg,Hollywood Heat (German)
11fa2432,prom1g_fp.cpu,hlywhgfp,Hollywood Heat (German Free Play)
969ca81f,prom2f.cpu,hlywodhf,Hollywood Heat (French)
ddc45d2d,prom1f.cpu,hlywodhf,Hollywood Heat (French)
9b7df518,prom1f_fp.cpu,hlywhffp,Hollywood Heat (French Free Play)
6556d711,prom1_b.cpu,bubba,Bubba the Redneck Werewolf (Hollywood Heat unofficial MOD)
a035eb2d,prom1_bb.cpu,beachbms,Beach Bums (Hollywood Heat unofficial MOD)
45164b17,prom1_tj.cpu,tomjerry,Tom & Jerry (Hollywood Heat unofficial MOD)
ac9f3a0f,prom2.cpu,genesis,Genesis
4a2f185c,prom1.cpu,genesis,Genesis
758e1743,drom1.snd,genesis,Genesis
4869b0ec,yrom1.snd,genesis,Genesis
0528c024,yrom2.snd,genesis,Genesis
662722b1,prom1_fp.cpu,genesifp,Genesis (Free Play)
e8fc30af,prom2g.cpu,genesisg,Genesis (German)
68a27ec1,prom1g.cpu,genesisg,Genesis (German)
24af8cef,prom1g_fp.cpu,genesgfp,Genesis (German Free Play)
ea7f824f,prom2f.cpu,genesisf,Genesis (French)
e7ef875b,prom1f.cpu,genesisf,Genesis (French)
4d94f012,prom1f_fp.cpu,genesffp,Genesis (French Free Play)
a5318c20,prom2.cpu,goldwing,Gold Wings
bf242185,prom1.cpu,goldwing,Gold Wings
892dbb21,drom1.snd,goldwing,Gold Wings
e17e9b1f,yrom1.snd,goldwing,Gold Wings
4e482023,yrom2.snd,goldwing,Gold Wings
58f19602,prom1_fp.cpu,goldwgfp,Gold Wings (Free Play)
f69c963c,prom2g.cpu,gldwingg,Gold Wings (German)
a9349b2f,prom1g.cpu,gldwingg,Gold Wings (German)
912c5086,prom1g_fp.cpu,gldwggfp,Gold Wings (German Free Play)
50337adf,prom2f.cpu,gldwingf,Gold Wings (French)
ec046fc0,prom1f.cpu,gldwingf,Gold Wings (French)
90dd07b7,prom1f_fp.cpu,gldwgffp,Gold Wings (French Free Play)
6860e315,prom2.cpu,mntecrlo,Monte Carlo
